leg,joint,cmd_delta_rad,act_delta_rad
hover,1,0.000149796,0.000125373
hover,1,0.000121248,0.000094048
hover,1,-0.000009863,0.000013186
hover,1,0.000135526,0.000099709
hover,1,-0.000001379,0.000014119
hover,1,0.000040994,0.000026175
hover,1,-0.000017969,0.000016921
hover,1,0.000049308,0.000031699
hover,1,0.000010657,0.000017482
hover,1,0.000057383,0.000059931
hover,1,0.000033373,0.000018041
hover,1,-0.000018927,0.000002655
hover,1,0.000059444,0.000039947
hover,1,0.000017543,0.000021583
hover,1,0.000013476,0.000029530
hover,1,0.000057397,0.000039302
hover,1,0.000052940,0.000044985
hover,1,-0.000038597,-0.000011804
hover,1,0.000122136,0.000090644
hover,1,-0.000090049,-0.000068860
hover,1,0.000109386,0.000091704
hover,1,-0.000062396,-0.000060244
hover,1,0.000082019,0.000089500
hover,1,-0.000074419,-0.000054436
hover,1,0.000092357,0.000083119
hover,1,-0.000076894,-0.000060912
hover,1,0.000085560,0.000084642
hover,1,-0.000078395,-0.000064958
hover,1,0.000102414,0.000081405
hover,1,-0.000072442,-0.000065222
hover,1,0.000078217,0.000081500
hover,1,-0.000060408,-0.000063801
hover,1,0.000120255,0.000081202
hover,1,-0.000107605,-0.000054516
hover,1,0.000096106,0.000079472
hover,1,-0.000082324,-0.000062661
hover,1,0.000095720,0.000079000
hover,1,-0.000077973,-0.000065122
hover,1,0.000084467,0.000077838
hover,1,-0.000094731,-0.000064349
hover,1,0.000110538,0.000069987
hover,1,-0.000078414,-0.000060739
hover,1,0.000087201,0.000073656
hover,1,-0.000559709,-0.000059625
hover,1,0.000083878,0.000035668
hover,1,-0.000045533,-0.000043180
hover,1,0.000043750,0.000037532
hover,1,-0.000051460,-0.000047930
hover,1,0.000089380,0.000065161
hover,1,-0.000060357,-0.000040689
hover,1,0.000102434,0.000069683
hover,1,-0.000007978,0.000003237
hover,1,0.000104827,0.000085531
hover,1,0.000045531,0.000047553
hover,1,-0.000016310,-0.000011709
hover,1,0.000016696,0.000006778
hover,1,0.000000155,0.000009367
hover,1,0.000003720,-0.000000630
hover,1,0.000079050,0.000068735
hover,1,-0.000013733,-0.000006832
hover,1,0.000084895,0.000070967
hover,1,-0.000001966,0.000004141
hover,1,0.000046831,0.000037769
hover,1,0.000022655,0.000022544
hover,1,0.000000514,0.000002287
hover,1,0.000013593,0.000019124
hover,1,0.000036704,0.000032695
hover,1,0.000085570,0.000067357
hover,1,0.000004378,0.000013709
hover,1,0.000075166,0.000062006
hover,1,0.000001431,0.000008885
hover,1,0.000125546,0.000104062
hover,1,-0.000049671,-0.000030845
hover,1,0.000116851,0.000096245
hover,1,-0.000012396,-0.000001935
hover,1,0.000175720,0.000148859
hover,1,-0.000029295,-0.000014208
hover,1,0.000044805,0.000044219
hover,1,0.000118376,0.000100795
hover,1,-0.000051558,-0.000031596
hover,1,0.000157848,0.000134453
hover,1,-0.000057099,-0.000037221
hover,1,0.000071657,0.000066627
hover,1,0.000027115,0.000028880
hover,1,0.000036772,0.000035567
hover,1,0.000051344,0.000049258
hover,1,0.000033123,0.000032859
hover,1,0.000005415,0.000011796
hover,1,0.000050964,0.000046667
hover,1,-0.000021748,-0.000007527
hover,1,0.000129088,0.000110079
hover,1,0.000005432,0.000013566
hover,1,0.000048550,0.000046626
hover,1,0.000067472,0.000059055
hover,1,-0.000012415,-0.000000179
hover,1,0.000097408,0.000086168
hover,1,-0.000038486,-0.000024328
hover,1,0.000030784,0.000032686
hover,1,0.000120804,0.000102758
hover,1,-0.000082014,-0.000055913
hover,1,0.000152830,0.000127751
hover,1,-0.000052256,-0.000031190
hover,1,0.000055961,0.000047695
hover,1,0.000036383,0.000037026
hover,1,-0.000004873,0.000002198
hover,1,0.000070700,0.000063660
