depth_m,force_n,physx_touch
0.006000,213.340146,1
0.006000,257.593089,1
0.008000,226.987347,1
0.008000,300.789057,1
0.008000,185.437578,1
0.008000,243.728534,1
0.008000,305.656304,1
0.008000,246.615900,1
0.008000,219.693256,1
0.008000,297.993484,1
0.008000,220.360256,1
0.008000,302.812288,1
0.008000,198.300993,1
0.008000,302.112403,1
0.008000,204.864722,1
0.008000,305.992100,1
0.008000,198.686048,1
0.008000,252.067556,1
0.008000,303.699943,1
0.008000,194.936809,1
0.008000,306.947491,1
0.008000,191.882168,1
0.008000,304.327563,1
0.008000,185.274899,1
0.008000,272.594979,1
0.008000,274.270495,1
0.008000,276.734423,1
0.008000,280.275317,1
0.008000,259.263378,1
0.008000,292.511772,1
0.008000,201.070422,1
0.008000,272.383816,1
0.008000,296.590346,1
0.008000,215.564415,1
0.008000,303.022719,1
0.008000,212.020761,1
0.008000,307.374078,1
0.008000,208.448011,1
0.008000,301.107827,1
0.008000,211.824841,1
0.008000,303.392865,1
0.008000,183.308726,1
0.010000,259.839141,1
0.010000,298.892941,1
0.010000,241.263884,1
0.010000,273.732562,1
0.010000,310.967617,1
0.010000,214.556041,1
0.010000,312.607961,1
0.010000,228.358705,1
0.010000,296.503840,1
0.010000,292.710990,1
0.010000,240.182060,1
0.010000,302.221836,1
0.010000,269.376071,1
0.010000,292.609409,1
0.010000,255.789437,1
0.010000,301.785140,1
0.010000,283.580906,1
0.010000,234.876998,1
0.010000,298.223004,1
0.010000,295.877677,1
0.010000,230.906731,1
0.010000,300.598254,1
0.010000,274.618233,1
0.010000,300.972947,1
0.010000,237.669455,1
0.010000,310.545086,1
0.010000,224.688456,1
0.010000,310.079899,1
0.010000,202.554535,1
0.010000,312.887762,1
0.010000,237.501225,1
0.010000,313.745086,1
0.010000,269.929444,1
0.010000,289.107296,1
0.010000,234.258379,1
0.010000,313.716296,1
0.010000,222.419511,1
0.010000,315.189355,1
0.010000,260.903206,1
0.010000,295.019829,1
0.013000,274.679728,1
0.013000,304.844644,1
0.013000,258.547212,1
0.013000,292.642648,1
0.013000,301.855476,1
0.013000,260.070216,1
0.013000,288.148986,1
0.013000,304.391687,1
0.013000,256.550455,1
0.013000,298.524726,1
0.013000,278.816703,1
0.013000,295.121774,1
0.013000,279.660106,1
0.013000,289.119042,1
0.013000,282.268040,1
0.013000,294.497653,1
0.013000,259.335875,1
0.013000,287.445284,1
0.013000,303.294505,1
0.013000,277.669236,1
0.013000,272.242077,1
0.013000,309.106754,1
0.013000,270.759894,1
0.013000,286.764345,1
0.013000,289.506091,1
0.013000,260.133088,1
0.013000,314.025623,1
0.013000,267.496519,1
0.013000,304.481583,1
0.013000,247.252501,1
0.013000,296.696910,1
0.013000,304.471868,1
0.013000,262.600647,1
0.013000,306.638692,1
0.013000,271.619325,1
0.013000,297.279231,1
0.013000,263.881200,1
0.013000,307.725622,1
0.013000,282.162332,1
0.013000,275.244679,1
0.016000,289.054939,1
0.016000,290.401909,1
0.016000,269.954853,1
0.016000,312.268888,1
0.016000,259.806887,1
0.016000,291.632554,1
0.016000,310.242242,1
0.016000,259.052505,1
0.016000,313.365921,1
0.016000,262.260866,1
0.016000,312.969945,1
0.016000,262.013019,1
0.016000,301.065140,1
0.016000,286.715740,1
0.016000,291.108803,1
0.016000,270.602072,1
0.016000,311.336214,1
0.016000,280.423198,1
0.016000,267.379348,1
0.016000,311.257305,1
0.016000,264.642619,1
0.016000,313.960171,1
0.016000,267.123037,1
0.016000,283.240536,1
0.016000,280.248790,1
0.016000,310.792601,1
0.016000,279.261395,1
0.016000,303.984183,1
0.016000,269.713599,1
0.016000,285.044987,1
0.016000,305.611339,1
0.016000,267.453262,1
0.016000,301.550028,1
0.016000,263.304359,1
0.016000,320.216430,1
0.016000,280.493366,1
0.016000,260.812991,1
0.016000,316.183828,1
0.016000,265.184936,1
0.016000,309.957880,1
